Project Name,Path,LOC
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/FlashedTokensManagerTest.java,4
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/CloneProjectTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/FlashedTokensManagerTest.java,4
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/FlashedTokensManagerTest.java,10
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/FlashedTokensManagerTest.java,19
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/core/reporting/average/AverageAggregatorTest.java,40
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/CloneProjectTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/ForwardingTokenTest.java,4
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/FlashedTokensManagerTest.java,20
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/ForwardingTokenTest.java,4
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/ForwardingTokenTest.java,10
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/ForwardingTokenTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,4
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,26
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/ForwardingTokenTest.java,6
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/ForwardingTokenTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,9
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,39
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,31
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,10
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,35
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,41
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,20
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,15
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,12
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,8
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RawDataDBTest.java,20
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/internal/SerializationTokenPoolTest.java,17
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RawDataDBTest.java,20
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/test/utils/FileManagerIntegrationTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/DBManagerTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/test/utils/FileManagerIntegrationTest.java,5
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/test/utils/FileManagerIntegrationTest.java,8
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/test/utils/FileManagerIntegrationTest.java,7
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RealtimeStatsDBTest.java,20
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RealtimeStatsDBTest.java,168
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RealtimeStatsDBTest.java,4
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RealtimeStatsDBTest.java,14
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/test/utils/FileManagerIntegrationTest.java,13
blynk-server,E:/IOT_INFO/repos/blynk-server/server/core/src/test/java/cc/blynk/server/db/RealtimeStatsDBTest.java,13
